Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Sick Boy (2012), Horror| Thriller,2012,Germany,3.7,
Creature Feature (2015), Horror,31-Oct-15,USA,4,79 min
Slender Man (2013), Adventure| Comedy| Horror| Mystery| Thriller,7-Nov-13,Russia,7.8,
Roadside (2013), Drama| Horror| Mystery| Thriller,14-Apr-15,USA,3.9,90 min
Selfie (2016), Horror| Thriller,2-Sep-16,India,7.6,123 min
Other World (2016), Action| Drama| Horror| Mystery| Sci-Fi| Thriller,2016,Australia,,
Territorial Behavior (2015), Horror| Mystery,7-Jun-15,USA,5.6,80 min
The Noonday Witch (2016), Drama| Horror,3-Mar-16,Czech Republic,5.2,90 min
Elder Island (2016), Horror| Thriller,2016,USA,3.2,81 min
Terror 5 (2016), Horror,5-Jan-17,Argentina,4.6,78 min
Hot Tub Party Massacre (2016), Horror,28-Oct-16,Canada,4.4,72 min
Tripura (2015), Comedy| Horror,24-Jul-15,India,5.7,
Hostile (2014), Action| Drama| Fantasy| Horror| Thriller,28-Oct-14,France,5.5,89 min
The Sleeping Room (2014), Horror,27-Apr-15,UK,4.5,78 min
Mana (2014), Drama| Fantasy| Horror,19-Feb-14,Philippines,5.6,105 min
